session_id,student_id,duration_seconds,tab_switches,blur_events,fullscreen_exits,avg_blur_duration_ms,max_blur_duration_ms,total_idle_ms,typing_gaps_avg_sec,mouse_outside_count,copy_attempts,paste_attempts,devtools_attempts,screenshot_attempts,has_f12,has_alt_tab,has_win_d_p,has_prt_scr,has_f11_f5,has_escape,label
SES_00021,STU_4539,3600,0,0,0,0,0,2484,2.26,0,0,0,0,0,0,0,0,1,0,0,0
SES_00022,STU_6104,3600,0,0,0,0,0,2472,1.47,0,0,0,0,0,0,0,0,1,0,0,0
SES_00023,STU_7156,3600,0,0,0,0,0,113947,14.79,0,0,0,0,2,0,0,0,0,1,0,1
SES_00024,STU_1804,3600,0,0,0,0,0,31701,16.98,0,0,0,1,0,0,0,0,0,1,0,1
SES_00025,STU_8159,3600,0,0,0,5,862,116067,22.5,13,0,0,0,0,0,0,0,0,0,0,1
SES_00026,STU_8581,3600,15,16,0,2107,2937,123013,17.29,3,1,0,1,1,0,0,0,0,0,0,1
SES_00027,STU_3833,3600,0,0,0,714,1109,122634,15.64,2,4,8,0,0,0,0,0,0,0,0,1
SES_00028,STU_1792,3600,6,8,2,3428,6440,93433,24.63,4,0,2,0,12,0,0,0,1,0,0,1
SES_00029,STU_7822,3600,2,1,1,1240,1443,2087,0.47,1,0,0,0,0,0,0,0,1,0,0,0
SES_00030,STU_5953,3600,0,0,0,0,0,11015,3.38,0,0,0,0,0,0,0,0,1,0,0,0
SES_00031,STU_6501,3600,0,1,0,55,748,1381,1.64,1,0,0,0,0,0,0,0,1,0,0,0
SES_00032,STU_7204,3600,0,0,0,0,0,9005,2.5,1,0,0,0,0,0,0,0,1,0,0,0
SES_00033,STU_6662,3600,1,0,0,777,1715,22980,9.26,2,0,0,1,10,0,0,0,1,0,0,1
SES_00034,STU_4859,3600,0,1,0,269,751,4417,2.97,0,0,0,0,0,0,0,0,1,0,0,0
SES_00035,STU_1228,3600,0,1,0,134,996,5165,0.87,1,0,0,0,0,0,0,0,1,0,0,0
SES_00036,STU_4781,3600,1,1,0,1000,1000,79707,13.48,1,0,0,1,0,0,1,0,0,0,0,1
SES_00037,STU_3548,3600,2,1,1,1628,1890,11787,3.24,1,0,0,0,0,0,1,0,0,0,0,0
SES_00038,STU_1757,3600,0,1,0,289,2211,32817,19.26,2,0,0,0,5,0,0,0,1,0,0,1
SES_00039,STU_8141,3600,0,1,0,97,254,11069,2.71,0,0,0,0,0,0,0,0,1,0,0,0
SES_00040,STU_4473,3600,2,4,1,16154,27300,144784,17.38,3,0,0,1,1,0,0,0,0,0,0,1
SES_00041,STU_7242,3600,2,1,0,6175,12647,117382,11.69,4,2,5,0,3,0,0,0,0,0,0,1
SES_00042,STU_3714,3600,2,1,1,1608,2430,14086,1.11,0,0,0,0,0,0,0,0,0,0,0,0
SES_00043,STU_3028,3600,0,0,0,0,0,101726,12.48,1,0,0,0,0,1,0,0,0,0,0,1
SES_00044,STU_7126,3600,0,0,0,0,0,9325,1.95,0,0,0,0,0,1,0,0,0,0,0,0
SES_00045,STU_1242,3600,1,4,1,33369,39286,48857,16.9,1,0,0,0,0,0,0,0,0,0,0,1
SES_00046,STU_8601,3600,0,1,0,8,938,4832,0.83,0,0,0,0,0,0,0,0,0,0,0,0
SES_00047,STU_7863,3600,2,1,1,1034,1349,5518,0.3,1,0,0,0,0,0,0,0,0,0,0,0
SES_00048,STU_7505,3600,0,1,0,211,448,7550,1.29,1,0,0,0,0,0,0,0,0,0,0,0
SES_00049,STU_4333,3600,0,1,0,377,446,2552,1.46,1,0,0,0,0,0,0,0,0,0,0,0
SES_00050,STU_2385,3600,0,0,0,77,1936,127158,17.94,2,0,0,0,7,0,0,0,1,0,0,1
SES_00051,STU_2779,3600,0,0,0,0,0,13209,2.48,1,0,0,0,0,0,0,0,1,0,0,0
SES_00052,STU_7714,3600,0,1,0,170,866,4374,2.07,0,0,0,0,0,0,0,0,1,0,0,0
SES_00053,STU_6354,3600,0,0,0,0,0,3470,2.48,0,0,0,0,0,0,0,0,1,0,0,0
SES_00054,STU_6945,3600,0,0,0,0,0,2866,3.47,0,0,0,0,0,0,0,0,1,0,0,0
SES_00055,STU_5825,3600,15,16,0,1268,2678,39331,8.84,5,0,0,0,0,0,0,0,0,0,0,1
SES_00056,STU_3307,3600,0,1,0,247,457,10093,1.63,1,0,0,0,0,0,0,0,0,0,0,0
SES_00057,STU_2280,3600,0,0,1,0,0,20783,17.81,0,0,0,0,0,0,0,0,0,0,1,1
SES_00058,STU_1604,3600,13,14,0,1028,2328,52429,20.28,1,1,1,0,0,0,0,0,0,0,0,1
SES_00059,STU_4833,3600,0,0,0,0,0,3048,2.42,0,0,0,0,0,0,0,0,0,0,0,0
SES_00060,STU_7608,3600,0,0,0,0,0,9371,3.28,0,0,0,0,0,0,0,0,0,0,0,0
SES_00061,STU_3981,3600,1,3,1,790,1054,7548,2.5,1,0,0,0,0,0,0,0,0,0,0,0
SES_00062,STU_7337,3600,0,1,0,376,1325,13851,1.62,0,0,0,0,0,0,0,0,0,0,0,0
SES_00063,STU_3840,3600,0,0,1,0,0,147876,5.47,0,0,0,1,0,0,0,0,0,0,1,1
SES_00064,STU_8917,3600,0,0,0,0,0,107078,22.89,0,0,0,0,2,0,0,0,0,1,0,1
SES_00065,STU_4057,3600,0,0,0,0,0,12711,1.4,0,0,0,0,0,0,0,0,0,1,0,0
SES_00066,STU_7964,3600,0,1,0,385,728,11182,2.39,0,0,0,0,0,0,0,0,0,1,0,0
SES_00067,STU_6789,3600,0,1,0,500,500,37506,7.62,1,0,0,1,0,0,0,1,0,0,0,1
SES_00068,STU_5753,3600,0,0,0,0,0,9770,0.65,0,0,0,0,0,0,0,1,0,0,0,0
SES_00069,STU_4662,3600,0,1,0,199,959,13443,1.79,0,0,0,0,0,0,0,1,0,0,0,0
SES_00070,STU_7137,3600,0,1,0,500,500,112051,13.62,1,0,0,0,0,0,0,1,0,0,0,1
SES_00071,STU_9743,3600,0,0,0,0,0,8271,2.65,0,0,0,0,0,0,0,1,0,0,0,0
SES_00072,STU_3380,3600,0,0,0,0,0,11909,3.16,1,0,0,0,0,0,0,1,0,0,0,0
SES_00073,STU_3467,3600,0,0,0,0,0,4043,0.86,0,0,0,0,0,0,0,1,0,0,0,0
SES_00074,STU_8365,3600,0,0,0,0,0,1608,0.93,1,0,0,0,0,0,0,1,0,0,0,0
SES_00075,STU_5343,3600,0,0,0,0,0,7901,0.55,1,0,0,0,0,0,0,1,0,0,0,0
SES_00076,STU_1288,3600,0,1,0,200,236,14691,2.84,1,0,0,0,0,0,0,1,0,0,0,0
SES_00077,STU_6782,3600,0,0,0,0,0,1171,1.26,0,0,0,0,0,0,0,1,0,0,0,0
SES_00078,STU_4521,3600,0,1,0,192,1112,3921,2.66,0,0,0,0,0,0,0,1,0,0,0,0
SES_00079,STU_3670,3600,14,19,4,8726,14718,75170,17.34,8,4,2,0,0,0,0,0,0,0,0,1
SES_00080,STU_9959,3600,0,0,0,0,0,12189,2.17,1,0,0,0,0,0,0,0,0,0,0,0
SES_00081,STU_8732,3600,19,22,4,4709,7505,16567,24.19,14,1,2,0,1,0,0,0,0,0,0,1
SES_00082,STU_4912,3600,0,0,0,0,0,12757,1.27,1,0,0,0,0,0,0,0,0,0,0,0
SES_00083,STU_2060,3600,1,2,1,1221,1676,12136,1.47,1,0,0,0,0,0,0,0,0,0,0,0
SES_00084,STU_9553,3600,1,5,1,26757,34330,124177,19.34,1,0,0,1,0,0,0,0,0,0,0,1
SES_00085,STU_1921,3600,0,0,1,0,0,28314,23.63,0,0,0,0,0,0,0,0,0,0,1,1
SES_00086,STU_8408,3600,0,1,0,292,1249,1309,0.3,0,0,0,0,0,0,0,0,0,0,1,0
SES_00087,STU_7388,3600,0,1,0,358,1277,12055,0.68,1,0,0,0,0,0,0,0,0,0,1,0
SES_00088,STU_6230,3600,1,1,1,1180,1706,4233,1.59,1,0,0,0,0,0,0,0,0,0,1,0
SES_00089,STU_3842,3600,0,1,0,238,666,11708,1.9,0,0,0,0,0,0,0,0,0,0,1,0
SES_00090,STU_8038,3600,15,19,2,6921,20546,70140,16.33,18,5,5,0,2,0,0,0,0,0,0,1
SES_00091,STU_7778,3600,0,0,0,0,0,139679,23.63,0,0,0,0,2,0,0,0,0,1,0,1
SES_00092,STU_1126,3600,0,1,0,203,363,8255,2.44,1,0,0,0,0,0,0,0,0,1,0,0
SES_00093,STU_5276,3600,0,0,0,0,0,34923,20.37,0,0,0,0,0,0,0,0,0,1,0,1
SES_00094,STU_2184,3600,0,0,0,379,903,82728,10.1,2,4,7,0,0,0,0,0,0,0,0,1
SES_00095,STU_9725,3600,0,1,0,134,498,9351,2.42,1,0,0,0,0,0,0,0,0,0,0,0
SES_00096,STU_2440,3600,0,0,1,0,0,127048,8.03,0,0,0,0,0,0,0,0,0,0,1,1
SES_00097,STU_5933,3600,4,4,2,12506,20524,109308,21.92,3,0,0,0,0,0,0,0,0,0,0,1
SES_00098,STU_3082,3600,2,2,1,1453,1474,7431,1.32,1,0,0,0,0,0,0,0,0,0,0,0
SES_00099,STU_3073,3600,0,0,0,0,0,83442,16.4,0,0,0,1,0,0,0,0,0,1,0,1
SES_00100,STU_5316,3600,6,7,0,1787,6462,56871,21.04,6,2,0,0,15,0,0,0,1,0,0,1
SES_00101,STU_9103,3600,0,0,0,0,0,7314,1.61,1,0,0,0,0,0,0,0,1,0,0,0
SES_00102,STU_1742,3600,0,0,0,0,0,2820,1.84,1,0,0,0,0,0,0,0,1,0,0,0
SES_00103,STU_9522,3600,0,0,0,0,0,9809,2.39,0,0,0,0,0,0,0,0,1,0,0,0
SES_00104,STU_4154,3600,0,1,0,500,500,14907,9.0,1,0,0,0,1,0,0,1,0,0,0,1
SES_00105,STU_6957,3600,0,0,0,0,0,6927,2.19,1,0,0,0,0,0,0,1,0,0,0,0
SES_00106,STU_2398,3600,0,0,0,0,0,5759,0.61,0,0,0,0,0,0,0,1,0,0,0,0
SES_00107,STU_3359,3600,0,0,0,0,0,10632,1.54,1,0,0,0,0,0,0,1,0,0,0,0
SES_00108,STU_6883,3600,2,3,1,19488,31224,135085,24.01,8,0,0,0,0,0,0,0,0,0,0,1
SES_00109,STU_3961,3600,0,1,0,500,500,78179,6.01,1,0,0,0,0,0,0,1,0,0,0,1
SES_00110,STU_6836,3600,1,3,1,1092,1133,14041,2.28,1,0,0,0,0,0,0,1,0,0,0,0
SES_00111,STU_8811,3600,0,1,0,206,671,11985,2.98,0,0,0,0,0,0,0,1,0,0,0,0
SES_00112,STU_5107,3600,0,1,0,311,885,13589,2.48,0,0,0,0,0,0,0,1,0,0,0,0
SES_00113,STU_5200,3600,2,1,0,223,1096,74966,9.44,1,0,0,0,10,0,0,0,1,0,0,1
SES_00114,STU_1262,3600,0,0,0,0,0,11469,2.83,0,0,0,0,0,0,0,0,1,0,0,0
SES_00115,STU_5456,3600,5,10,2,1690,6258,84069,15.36,10,2,2,1,0,0,0,0,0,0,0,1
SES_00116,STU_7732,3600,0,1,0,232,385,13943,1.55,1,0,0,0,0,0,0,0,0,0,0,0
SES_00117,STU_9885,3600,0,0,1,0,0,20241,16.68,0,0,0,0,0,0,0,0,0,0,1,1
SES_00118,STU_8917,3600,0,1,0,467,1467,2613,3.19,0,0,0,0,0,0,0,0,0,0,1,0
SES_00119,STU_1758,3600,0,0,0,154,603,116374,13.05,0,0,0,1,6,0,0,0,1,0,0,1
SES_00120,STU_5249,3600,0,0,1,0,0,91915,15.81,0,0,0,1,0,0,0,0,0,0,1,1
SES_00121,STU_8345,3600,0,1,0,362,882,10590,0.57,0,0,0,0,0,0,0,0,0,0,1,0
SES_00122,STU_9032,3600,0,0,0,0,0,8244,0.89,0,0,0,0,0,0,0,0,0,0,1,0
SES_00123,STU_8260,3600,0,0,0,473,2144,131754,13.47,1,0,0,0,4,0,0,0,1,0,0,1
SES_00124,STU_5029,3600,0,0,0,0,0,5235,2.02,1,0,0,0,0,0,0,0,1,0,0,0
SES_00125,STU_5434,3600,0,0,0,0,0,61517,9.42,1,0,0,0,0,1,0,0,0,0,0,1
SES_00126,STU_9100,3600,0,1,0,472,978,11542,1.81,1,0,0,0,0,1,0,0,0,0,0,0
SES_00127,STU_9972,3600,3,3,3,23808,40669,78638,22.05,3,0,0,0,0,0,0,0,0,0,0,1
SES_00128,STU_3312,3600,0,0,0,263,885,87934,21.2,10,0,0,1,0,0,0,0,0,0,0,1
SES_00129,STU_8422,3600,1,1,0,1000,1000,70409,9.0,1,0,0,1,0,0,1,0,0,0,0,1
SES_00130,STU_8344,3600,2,1,1,1130,1233,6840,2.38,1,0,0,0,0,0,1,0,0,0,0,0
SES_00131,STU_7135,3600,2,2,1,531,1476,7305,3.42,1,0,0,0,0,0,1,0,0,0,0,0
SES_00132,STU_2697,3600,5,7,3,25538,41016,43200,8.45,8,0,0,0,0,0,0,0,0,0,0,1
SES_00133,STU_7017,3600,0,1,0,488,816,14038,1.13,1,0,0,0,0,0,0,0,0,0,0,0
SES_00134,STU_9308,3600,0,0,0,0,0,1674,0.35,1,0,0,0,0,0,0,0,0,0,0,0
SES_00135,STU_9483,3600,0,0,0,106,504,101745,11.13,9,0,0,0,0,0,0,0,0,0,0,1
SES_00136,STU_3249,3600,1,2,1,15567,23708,35545,19.25,2,0,0,0,0,0,0,0,0,0,0,1
SES_00137,STU_5143,3600,0,0,0,0,0,13059,3.19,1,0,0,0,0,0,0,0,0,0,0,0
SES_00138,STU_1070,3600,0,0,0,0,0,10892,3.12,1,0,0,0,0,0,0,0,0,0,0,0
SES_00139,STU_3787,3600,1,1,1,1781,1897,8073,2.18,1,0,0,0,0,0,0,0,0,0,0,0
SES_00140,STU_8305,3600,0,1,0,237,969,6285,3.4,0,0,0,0,0,0,0,0,0,0,0,0
SES_00141,STU_5472,3600,2,0,0,885,1584,27921,21.32,2,0,0,0,4,0,0,0,1,0,0,1
SES_00142,STU_5682,3600,0,0,0,0,0,2924,1.77,0,0,0,0,0,0,0,0,1,0,0,0
SES_00143,STU_4307,3600,0,1,0,362,509,7472,0.49,0,0,0,0,0,0,0,0,1,0,0,0
SES_00144,STU_6601,3600,0,1,0,476,1321,2321,2.59,0,0,0,0,0,0,0,0,1,0,0,0
SES_00145,STU_8346,3600,0,0,0,0,0,12934,3.08,1,0,0,0,0,0,0,0,1,0,0,0
SES_00146,STU_5223,3600,2,1,1,1219,2097,4012,3.41,0,0,0,0,0,0,0,0,1,0,0,0
SES_00147,STU_8967,3600,0,1,0,3,796,2871,0.79,0,0,0,0,0,0,0,0,1,0,0,0
SES_00148,STU_3182,3600,0,1,0,147,406,9399,2.42,1,0,0,0,0,0,0,0,1,0,0,0
SES_00149,STU_5026,3600,3,3,0,5716,9704,128103,17.31,3,10,10,0,0,0,0,0,0,0,0,1
SES_00150,STU_2889,3600,0,1,0,187,420,9855,1.4,1,0,0,0,0,0,0,0,0,0,0,0
SES_00151,STU_6711,3600,1,1,0,1000,1000,139182,16.61,1,0,0,0,0,0,1,0,0,0,0,1
SES_00152,STU_5714,3600,0,1,0,191,705,10060,0.49,1,0,0,0,0,0,1,0,0,0,0,0
SES_00153,STU_7318,3600,4,4,1,26617,36914,37953,14.54,8,0,0,1,1,0,0,0,0,0,0,1
SES_00154,STU_2719,3600,0,0,0,0,0,2481,2.39,1,0,0,0,0,0,0,0,0,0,0,0
SES_00155,STU_7057,3600,1,1,1,1973,2947,11530,2.91,1,0,0,0,0,0,0,0,0,0,0,0
SES_00156,STU_7644,3600,0,0,0,0,0,102739,24.71,1,0,0,0,1,1,0,0,0,0,0,1
SES_00157,STU_5667,3600,0,1,0,276,1064,12763,3.14,1,0,0,0,0,1,0,0,0,0,0,0
SES_00158,STU_5293,3600,1,2,1,6059,12462,127591,24.29,2,6,3,0,7,0,0,0,0,0,0,1
SES_00159,STU_6398,3600,0,1,0,97,830,4780,2.52,0,0,0,0,0,0,0,0,0,0,0,0
SES_00160,STU_7534,3600,0,1,0,43,298,1203,1.17,0,0,0,0,0,0,0,0,0,0,0,0
SES_00161,STU_4788,3600,0,1,0,275,633,11510,1.78,1,0,0,0,0,0,0,0,0,0,0,0
SES_00162,STU_6886,3600,0,0,1,0,0,86799,6.23,0,0,0,0,0,0,0,0,0,0,1,1
SES_00163,STU_6880,3600,0,0,0,0,0,14928,0.84,0,0,0,0,0,0,0,0,0,0,1,0
SES_00164,STU_6977,3600,1,3,1,1347,1516,11670,2.97,0,0,0,0,0,0,0,0,0,0,1,0
SES_00165,STU_8836,3600,0,1,0,490,950,13710,2.38,0,0,0,0,0,0,0,0,0,0,1,0
SES_00166,STU_7678,3600,1,4,0,19330,24669,78403,16.95,0,0,0,1,0,0,0,0,0,0,0,1
SES_00167,STU_5094,3600,2,0,0,602,2599,86459,7.99,0,0,0,0,11,0,0,0,1,0,0,1
SES_00168,STU_1417,3600,7,8,1,4509,6037,25386,22.52,9,1,2,0,7,0,0,0,1,0,0,1
SES_00169,STU_2551,3600,2,3,1,1820,2010,9402,0.34,1,0,0,0,0,0,0,0,1,0,0,0
SES_00170,STU_5504,3600,0,0,0,600,2262,117092,17.39,1,0,0,0,6,0,0,0,1,0,0,1
SES_00171,STU_6929,3600,0,0,0,0,0,14797,1.64,0,0,0,0,0,0,0,0,1,0,0,0
SES_00172,STU_8133,3600,1,1,0,1000,1000,139781,18.5,1,0,0,1,0,0,1,0,0,0,0,1
SES_00173,STU_5817,3600,0,0,1,0,0,84238,19.71,0,0,0,0,0,0,0,0,0,0,1,1
SES_00174,STU_5705,3600,12,15,2,11276,23413,54688,10.75,8,5,2,0,2,0,0,0,0,0,0,1
SES_00175,STU_9843,3600,0,0,0,0,0,8470,1.74,0,0,0,0,0,0,0,0,0,0,0,0
SES_00176,STU_7708,3600,0,0,0,0,0,18656,9.92,1,0,0,0,0,1,0,0,0,0,0,1
SES_00177,STU_2939,3600,0,0,0,0,0,13059,1.45,0,0,0,0,0,1,0,0,0,0,0,0
SES_00178,STU_1213,3600,0,0,0,0,0,6507,0.47,0,0,0,0,0,1,0,0,0,0,0,0
SES_00179,STU_1387,3600,0,1,0,182,568,11380,3.35,1,0,0,0,0,1,0,0,0,0,0,0
SES_00180,STU_4362,3600,0,0,1,0,0,119669,21.92,0,0,0,0,0,0,0,0,0,0,1,1
SES_00181,STU_6139,3600,0,1,0,500,500,18887,10.69,1,0,0,0,0,0,0,1,0,0,0,1
SES_00182,STU_4051,3600,0,1,0,104,526,1431,1.38,1,0,0,0,0,0,0,1,0,0,0,0
SES_00183,STU_1994,3600,0,1,0,297,1025,13667,0.89,0,0,0,0,0,0,0,1,0,0,0,0
SES_00184,STU_9205,3600,0,1,0,95,604,9925,2.69,1,0,0,0,0,0,0,1,0,0,0,0
SES_00185,STU_9045,3600,0,0,0,0,0,12365,1.25,0,0,0,0,0,0,0,1,0,0,0,0
SES_00186,STU_9827,3600,0,0,0,0,0,6664,2.32,0,0,0,0,0,0,0,1,0,0,0,0
SES_00187,STU_3628,3600,1,1,0,1000,1000,73962,24.97,1,0,0,0,0,0,1,0,0,0,0,1
SES_00188,STU_5618,3600,0,0,0,0,0,133577,14.48,1,0,0,1,0,1,0,0,0,0,0,1
SES_00189,STU_1099,3600,4,5,0,2085,5579,30090,23.53,3,0,2,0,13,0,0,0,1,0,0,1
SES_00190,STU_6926,3600,2,2,1,2425,6351,72975,7.17,4,5,8,0,2,0,0,0,0,0,0,1
SES_00191,STU_6317,3600,0,1,0,500,500,111450,11.82,1,0,0,0,0,0,0,1,0,0,0,1
SES_00192,STU_7370,3600,8,10,3,10702,24054,12112,22.19,5,5,4,0,0,0,0,0,0,0,0,1
SES_00193,STU_6361,3600,0,1,0,412,839,25314,16.98,20,0,0,0,0,0,0,0,0,0,0,1
SES_00194,STU_6623,3600,0,1,0,477,814,5165,0.58,1,0,0,0,0,0,0,0,0,0,0,0
SES_00195,STU_5148,3600,0,1,0,231,735,10706,2.04,1,0,0,0,0,0,0,0,0,0,0,0
SES_00196,STU_3240,3600,0,0,0,238,611,144596,14.56,11,0,0,0,0,0,0,0,0,0,0,1
SES_00197,STU_6736,3600,0,1,0,302,1063,1625,2.24,0,0,0,0,0,0,0,0,0,0,0,0
SES_00198,STU_3600,3600,0,1,0,31,168,5674,0.34,1,0,0,0,0,0,0,0,0,0,0,0
SES_00199,STU_6273,3600,0,0,0,0,0,2369,2.48,1,0,0,0,0,0,0,0,0,0,0,0
SES_00200,STU_7294,3600,0,1,0,263,606,137493,21.31,5,0,0,0,1,0,0,0,0,0,0,1
SES_00201,STU_5255,3600,0,0,1,0,0,93926,10.7,0,0,0,0,0,0,0,0,0,0,1,1
SES_00202,STU_3004,3600,0,1,0,487,1274,14296,2.22,1,0,0,0,0,0,0,0,0,0,1,0
SES_00203,STU_9727,3600,2,3,1,3913,9550,34984,11.41,2,6,5,0,6,0,0,0,0,0,0,1
SES_00204,STU_5298,3600,0,0,0,0,0,3574,2.61,1,0,0,0,0,0,0,0,0,0,0,0
SES_00205,STU_9178,3600,0,0,0,0,0,12743,2.25,0,0,0,0,0,0,0,0,0,0,0,0
SES_00206,STU_2264,3600,0,0,0,0,0,5083,0.37,1,0,0,0,0,0,0,0,0,0,0,0
SES_00207,STU_7689,3600,0,0,0,0,0,6514,1.81,0,0,0,0,0,0,0,0,0,0,0,0
SES_00208,STU_8980,3600,2,1,1,1431,2178,7833,3.2,1,0,0,0,0,0,0,0,0,0,0,0
SES_00209,STU_2909,3600,1,2,2,7939,10974,105258,6.57,5,3,3,0,2,0,0,0,0,0,0,1
SES_00210,STU_2474,3600,0,0,1,0,0,70451,8.94,0,0,0,1,0,0,0,0,0,0,1,1
SES_00211,STU_4927,3600,14,19,2,11734,19853,101973,15.88,10,3,3,0,0,0,0,0,0,0,0,1
SES_00212,STU_3781,3600,0,0,0,0,0,11226,2.31,0,0,0,0,0,0,0,0,0,0,0,0
SES_00213,STU_8319,3600,2,3,1,1244,1817,11359,3.38,1,0,0,0,0,0,0,0,0,0,0,0
SES_00214,STU_1224,3600,1,3,1,1959,2661,2313,2.53,0,0,0,0,0,0,0,0,0,0,0,0
SES_00215,STU_3393,3600,0,0,0,0,0,10728,1.46,1,0,0,0,0,0,0,0,0,0,0,0
SES_00216,STU_2940,3600,0,1,0,238,903,7490,3.19,1,0,0,0,0,0,0,0,0,0,0,0
SES_00217,STU_5469,3600,0,1,0,306,765,3899,0.69,0,0,0,0,0,0,0,0,0,0,0,0
SES_00218,STU_4737,3600,0,1,0,282,957,7245,2.93,0,0,0,0,0,0,0,0,0,0,0,0
SES_00219,STU_1868,3600,0,1,0,100,816,8085,0.59,0,0,0,0,0,0,0,0,0,0,0,0
SES_00220,STU_3019,3600,0,0,0,0,0,12260,3.14,0,0,0,0,0,0,0,0,0,0,0,0
SES_00221,STU_7337,3600,3,3,0,5405,9262,135825,19.5,4,4,6,0,8,0,0,0,0,0,0,1
SES_00222,STU_2534,3600,0,1,0,491,633,1021,0.34,0,0,0,0,0,0,0,0,0,0,0,0
SES_00223,STU_6567,3600,0,0,1,0,0,80542,7.16,0,0,0,1,2,0,0,0,0,0,1,1
SES_00224,STU_1316,3600,0,1,0,145,244,13562,0.84,1,0,0,0,0,0,0,0,0,0,1,0
SES_00225,STU_4277,3600,0,1,0,308,415,4171,2.41,0,0,0,0,0,0,0,0,0,0,1,0
SES_00226,STU_2411,3600,0,1,0,394,432,14796,1.3,0,0,0,0,0,0,0,0,0,0,1,0
SES_00227,STU_6026,3600,3,1,1,8992,14899,67347,24.1,5,2,6,0,3,0,0,0,0,0,0,1
SES_00228,STU_4497,3600,0,0,0,0,0,17819,18.4,0,0,0,0,0,0,0,0,0,1,0,1
SES_00229,STU_1100,3600,0,0,0,0,0,10110,0.94,1,0,0,0,0,0,0,0,0,1,0,0
SES_00230,STU_7490,3600,1,2,1,3629,9115,111152,14.5,3,3,3,0,6,0,0,0,0,0,0,1
SES_00231,STU_7233,3600,0,1,0,389,520,13764,1.23,1,0,0,0,0,0,0,0,0,0,0,0
SES_00232,STU_8312,3600,0,0,0,0,0,11770,2.2,1,0,0,0,0,0,0,0,0,0,0,0
SES_00233,STU_8654,3600,0,0,0,0,0,2893,2.41,0,0,0,0,0,0,0,0,0,0,0,0
SES_00234,STU_9464,3600,0,1,0,305,845,7303,2.69,1,0,0,0,0,0,0,0,0,0,0,0
SES_00235,STU_6549,3600,0,1,0,500,500,52433,6.82,1,0,0,0,1,0,0,1,0,0,0,1
SES_00236,STU_8577,3600,0,1,0,54,815,12282,1.82,1,0,0,0,0,0,0,1,0,0,0,0
SES_00237,STU_8134,3600,1,1,0,1000,1000,113337,20.75,1,0,0,1,1,0,1,0,0,0,0,1
SES_00238,STU_7809,3600,0,3,1,25096,35545,65292,9.01,0,0,0,0,1,0,0,0,0,0,0,1
SES_00239,STU_8334,3600,0,1,0,247,887,10252,3.24,0,0,0,0,0,0,0,0,0,0,0,0
SES_00240,STU_8582,3600,2,1,1,1477,1942,3307,1.63,1,0,0,0,0,0,0,0,0,0,0,0
SES_00241,STU_6413,3600,0,0,0,0,0,13963,3.22,1,0,0,0,0,0,0,0,0,0,0,0
